stage_name,eon,era,period,epoch,base_age_ma
Meghalayan,Phanerozoic,Cenozoic,Quaternary,Holocene,0.0042
Northgrippian,Phanerozoic,Cenozoic,Quaternary,Holocene,0.0082
Greenlandian,Phanerozoic,Cenozoic,Quaternary,Holocene,0.0117
Upper Pleistocene,Phanerozoic,Cenozoic,Quaternary,Pleistocene,0.129
Chibanian,Phanerozoic,Cenozoic,Quaternary,Pleistocene,0.774
Calabrian,Phanerozoic,Cenozoic,Quaternary,Pleistocene,1.80
Gelasian,Phanerozoic,Cenozoic,Quaternary,Pleistocene,2.58
Piacenzian,Phanerozoic,Cenozoic,Neogene,Pliocene,3.600
Zanclean,Phanerozoic,Cenozoic,Neogene,Pliocene,5.333
Messinian,Phanerozoic,Cenozoic,Neogene,Miocene,7.246
Tortonian,Phanerozoic,Cenozoic,Neogene,Miocene,11.63
Serravallian,Phanerozoic,Cenozoic,Neogene,Miocene,13.82
Langhian,Phanerozoic,Cenozoic,Neogene,Miocene,15.99
Burdigalian,Phanerozoic,Cenozoic,Neogene,Miocene,20.44
Aquitanian,Phanerozoic,Cenozoic,Neogene,Miocene,23.03
Chattian,Phanerozoic,Cenozoic,Paleogene,Oligocene,27.82
Rupelian,Phanerozoic,Cenozoic,Paleogene,Oligocene,33.9
Priabonian,Phanerozoic,Cenozoic,Paleogene,Eocene,37.71
Bartonian,Phanerozoic,Cenozoic,Paleogene,Eocene,41.2
Lutetian,Phanerozoic,Cenozoic,Paleogene,Eocene,47.8
Ypresian,Phanerozoic,Cenozoic,Paleogene,Eocene,56.0
Thanetian,Phanerozoic,Cenozoic,Paleogene,Paleocene,59.2
Selandian,Phanerozoic,Cenozoic,Paleogene,Paleocene,61.6
Danian,Phanerozoic,Cenozoic,Paleogene,Paleocene,66.0
Maastrichtian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,72.1
Campanian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,83.6
Santonian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,86.3
Coniacian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,89.8
Turonian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,93.9
Cenomanian,Phanerozoic,Mesozoic,Cretaceous,Upper Cretaceous,100.5
Albian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,113.0
Aptian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,121.4
Barremian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,125.77
Hauterivian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,132.6
Valanginian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,139.8
Berriasian,Phanerozoic,Mesozoic,Cretaceous,Lower Cretaceous,145.0
Tithonian,Phanerozoic,Mesozoic,Jurassic,Upper Jurassic,149.2
Kimmeridgian,Phanerozoic,Mesozoic,Jurassic,Upper Jurassic,154.8
Oxfordian,Phanerozoic,Mesozoic,Jurassic,Upper Jurassic,161.5
Callovian,Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,165.3
Bathonian,Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,168.2
Bajocian,Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,170.9
Aalenian,Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,174.7
Toarcian,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,184.2
Pliensbachian,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,190.8
Sinemurian,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,199.5
Hettangian,Phanerozoic,Mesozoic,Jurassic,Lower Jurassic,201.4
Rhaetian,Phanerozoic,Mesozoic,Triassic,Upper Triassic,205.5
